,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chimbote,-9.0853,-78.5783,294.92,73,48,4.26,PE,1622392736
1,Cidreira,-30.1811,-50.2056,287.23,45,0,5.02,BR,1622392737
2,Berlevåg,70.8578,29.0864,279.15,86,97,11.79,NO,1622392737
3,Mataura,-46.1927,168.8643,282.86,97,100,1.58,NZ,1622392738
4,La Orilla,17.9833,-102.2333,304.32,52,55,2.92,MX,1622392738
5,Ponta do Sol,32.6667,-17.1,294.66,76,37,2.14,PT,1622392738
6,Hasaki,35.7333,140.8333,290.37,77,34,5.76,JP,1622392738
7,Östersund,63.1792,14.6357,293.4,34,0,6.17,SE,1622392669
8,Jamestown,42.097,-79.2353,289.92,52,40,3.58,US,1622392626
9,Hong Kong,22.2855,114.1577,303.89,88,98,0.45,HK,1622392636
10,Sabha,27.0377,14.4283,313.89,6,7,4.07,LY,1622392739
11,Port Elizabeth,-33.918,25.5701,288.2,71,0,2.06,ZA,1622392739
12,Albany,42.6001,-73.9662,283.07,90,100,2.43,US,1622392740
14,Kapaa,22.0752,-159.319,294.14,88,1,1.52,US,1622392740
15,Rikitea,-23.1203,-134.9692,296.86,79,100,7.29,PF,1622392483
16,Fortuna,40.5982,-124.1573,287.4,87,98,3.67,US,1622392628
17,Faya,18.3851,42.4509,298.21,28,57,1.4,SA,1622392741
18,Punta Arenas,-53.15,-70.9167,276.21,56,40,4.34,CL,1622392741
19,Saint Anthony,45.0205,-93.218,287.49,77,90,0.89,US,1622392741
20,Chokurdakh,70.6333,147.9167,283.76,48,23,4.14,RU,1622392741
21,Kaitangata,-46.2817,169.8464,282.81,94,100,4.02,NZ,1622392742
22,Barrow,71.2906,-156.7887,272.16,93,90,4.63,US,1622392742
23,Sulangan,11.1373,123.7228,301.89,75,90,2.58,PH,1622392707
24,Qaanaaq,77.484,-69.3632,273.37,91,100,2.41,GL,1622392480
25,Busselton,-33.65,115.3333,285.42,71,100,6.6,AU,1622392742
26,San Patricio,28.017,-97.5169,303.07,57,12,6.34,US,1622392743
27,Mar del Plata,-38.0023,-57.5575,287.09,44,0,3.58,AR,1622392560
28,Inírida,3.8653,-67.9239,296.93,92,100,1.35,CO,1622392743
29,Puerto Ayora,-0.7393,-90.3518,300.13,81,69,3.13,EC,1622392596
30,Bengkulu,-3.8004,102.2655,298.04,87,98,2.47,ID,1622392744
31,Bluff,-46.6,168.3333,283.04,94,100,9.98,NZ,1622392744
33,Tuktoyaktuk,69.4541,-133.0374,274.15,69,20,4.63,CA,1622392744
34,Fairbanks,64.8378,-147.7164,285.5,61,75,2.06,US,1622392490
35,Béboto,8.2668,16.939,305.42,35,93,2.67,TD,1622392745
36,Geraldton,-28.7667,114.6,287.38,88,40,7.01,AU,1622392487
37,Santa Cruz de la Sierra,-17.8,-63.1667,297.18,50,75,6.17,BO,1622392550
38,Mogadishu,2.0371,45.3438,299.08,84,100,7.05,SO,1622392745
39,Ulladulla,-35.35,150.4667,281.41,84,15,2.25,AU,1622392746
40,Ottawa,45.4112,-75.6981,293.01,32,75,3.93,CA,1622392107
41,Arraial do Cabo,-22.9661,-42.0278,299.13,78,75,5.14,BR,1622392746
42,Okha,53.5739,142.9478,272.9,94,68,2.15,RU,1622392746
43,George Town,5.4112,100.3354,303.09,81,20,1.54,MY,1622392197
44,Altay,47.8667,88.1167,289.56,19,4,3.51,CN,1622392747
45,Ocala,29.1872,-82.1401,305.9,49,1,0.45,US,1622392635
46,Hermanus,-34.4187,19.2345,288.09,80,79,1.45,ZA,1622392747
47,Isangel,-19.55,169.2667,294.29,76,92,2.57,VU,1622392482
48,Mahanoro,-19.9,48.8,296.07,84,13,3.68,MG,1622392748
49,Hilo,19.7297,-155.09,300.53,84,75,0.0,US,1622392466
50,Sørland,67.667,12.6934,281.19,92,100,8.11,NO,1622392748
51,Neuquén,-38.9516,-68.0591,285.09,50,0,1.54,AR,1622392509
52,Kiama,-34.6833,150.8667,282.25,81,28,0.89,AU,1622392748
53,Provideniya,64.3833,-173.3,278.81,54,2,5.4,RU,1622392749
54,Kathu,7.9178,98.3332,304.05,68,60,4.84,TH,1622392749
55,Port Alfred,-33.5906,26.891,287.89,62,32,3.03,ZA,1622392749
56,Aksu,41.1231,80.2644,300.43,14,91,2.56,CN,1622392749
57,Bethel,41.3712,-73.414,283.47,89,90,1.34,US,1622392750
58,Iranshahr,27.2025,60.6848,313.34,5,0,4.12,IR,1622392750
59,Yellowknife,62.456,-114.3525,279.44,70,75,0.89,CA,1622392475
60,Sindou,10.6667,-5.1667,305.75,42,41,1.82,BF,1622392751
61,La Gomera,14.0833,-91.05,305.99,64,94,1.98,GT,1622392751
62,Lüderitz,-26.6481,15.1594,289.95,64,86,7.61,NA,1622392751
63,Tasiilaq,65.6145,-37.6368,277.24,80,99,7.84,GL,1622392751
64,Lorengau,-2.0226,147.2712,300.04,85,100,3.68,PG,1622392752
65,Sivas Province,39.7916,37.0019,293.5,39,20,2.06,TR,1622392752
66,New Norfolk,-42.7826,147.0587,277.87,85,44,1.45,AU,1622392752
67,Cape Town,-33.9258,18.4232,289.38,68,0,1.92,ZA,1622392187
68,Schattdorf,46.8655,8.6547,293.89,73,40,1.53,CH,1622392753
69,San Andrés,12.5847,-81.7006,303.16,70,40,6.69,CO,1622392753
70,Marystown,47.1666,-55.1483,281.83,71,66,1.91,CA,1622392753
71,East London,-33.0153,27.9116,285.67,82,0,1.03,ZA,1622392753
72,Quatre Cocos,-20.2078,57.7625,297.21,77,2,3.16,MU,1622392754
73,Oranjemund,-28.55,16.4333,286.99,82,0,4.09,NA,1622392572
74,Forsytheganj,52.6333,29.7333,284.82,71,93,4.65,BY,1622392754
75,Saint-Philippe,-21.3585,55.7679,294.92,84,37,3.77,RE,1622392477
76,Saddiqabad,28.3062,70.1307,312.81,15,14,5.91,PK,1622392755
77,Atuona,-9.8,-139.0333,300.0,60,87,3.6,PF,1622392755
78,Saldanha,-33.0117,17.9442,289.18,83,7,3.43,ZA,1622392755
79,Necochea,-38.5473,-58.7368,286.5,42,27,7.39,AR,1622392756
80,Hithadhoo,-0.6,73.0833,301.6,73,52,7.44,MV,1622392756
81,Muisne,0.6,-80.0333,302.21,78,79,3.53,EC,1622392756
82,Hulan Ergi,47.2042,123.6333,285.22,83,43,1.13,CN,1622392757
83,Bishnupur,23.0833,87.3167,302.87,78,73,6.51,IN,1622392757
84,Severo-Kuril'sk,50.6789,156.125,276.82,97,100,6.81,RU,1622392757
85,Tiksi,71.6872,128.8694,272.57,95,8,3.27,RU,1622392757
86,Hualmay,-11.0964,-77.6139,294.27,73,56,5.02,PE,1622392673
87,Robertsport,6.7533,-11.3686,300.58,79,100,4.26,LR,1622392758
88,Menongue,-14.6585,17.691,290.66,27,3,1.8,AO,1622392758
89,Westport,41.1415,-73.3579,284.44,93,90,0.45,US,1622392681
90,Soyo,-6.1349,12.3689,299.02,81,23,4.74,AO,1622392758
91,Catalão,-18.1658,-47.9464,304.11,28,99,2.31,BR,1622392759
92,Ahipara,-35.1667,173.1667,287.49,82,97,8.44,NZ,1622392759
93,Vero Beach,27.6386,-80.3973,305.4,68,20,1.34,US,1622392759
94,Whitehorse,60.7161,-135.0538,283.2,57,75,6.71,CA,1622392760
95,Upernavik,72.7868,-56.1549,273.0,94,100,3.21,GL,1622392484
96,Cayenne,4.9333,-52.3333,302.17,84,75,2.24,GF,1622392468
97,Lebu,-37.6167,-73.65,286.94,70,100,2.71,CL,1622392760
98,Lagoa,39.05,-27.9833,290.58,73,42,3.73,PT,1622392761
99,Natchez,31.5604,-91.4032,294.96,61,1,1.54,US,1622392761
100,Vizianagaram,18.1167,83.4167,303.88,59,99,0.78,IN,1622392761
101,Constitución,-35.3333,-72.4167,288.44,52,77,3.67,CL,1622392761
102,Balezino,57.9796,53.0106,279.51,73,100,4.92,RU,1622392762
103,Khatanga,71.9667,102.5,275.07,99,100,2.66,RU,1622392488
104,Manitouwadge,49.1215,-85.8403,286.03,35,64,5.79,CA,1622392762
105,Mikhaylovka,50.06,43.2379,291.89,86,65,3.43,RU,1622392762
106,Dudinka,69.4058,86.1778,276.47,95,100,14.77,RU,1622392763
107,Makīnsk,52.6292,70.4169,294.79,46,39,5.11,KZ,1622392763
108,Haines Junction,60.7522,-137.5108,282.12,53,100,3.09,CA,1622392763
109,Pacific Grove,36.6177,-121.9166,289.71,86,90,0.45,US,1622392764
110,Saskylakh,71.9167,114.0833,275.4,89,100,1.4,RU,1622392764
111,Tosno,59.54,30.8775,285.21,51,6,2.22,RU,1622392765
112,Fort Nelson,58.8053,-122.7002,285.92,50,75,2.06,CA,1622392765
113,Bryan,30.6744,-96.37,300.16,73,40,4.12,US,1622392711
114,Vardø,70.3705,31.1107,280.26,70,75,6.17,NO,1622392765
115,Lake Cowichan,48.825,-124.0546,289.0,76,100,0.93,CA,1622392766
116,Ilulissat,69.2167,-51.1,284.16,32,69,4.63,GL,1622392766
117,Touros,-5.1989,-35.4608,304.65,67,44,6.26,BR,1622392766
118,Yamada,39.4667,141.95,284.48,84,10,2.93,JP,1622392766
119,Tuy Hoa,13.0833,109.3,300.74,78,28,2.43,VN,1622392614
120,Castro,-24.7911,-50.0119,287.14,98,100,1.63,BR,1622392767
121,Keuruu,62.2667,24.7,292.48,50,17,1.84,FI,1622392767
122,Bambous Virieux,-20.3428,57.7575,297.29,83,20,3.08,MU,1622392767
123,Lompoc,34.6391,-120.4579,293.36,82,90,3.6,US,1622392768
124,Port Hedland,-20.3167,118.5667,293.18,83,75,3.6,AU,1622392541
125,Chapais,49.7834,-74.8492,289.03,26,0,3.53,CA,1622392768
126,Shimoda,34.6667,138.95,293.21,78,69,4.81,JP,1622392768
127,Nuuk,64.1835,-51.7216,275.49,80,90,4.12,GL,1622392769
128,Olafsvik,64.8945,-23.7142,278.17,94,100,6.12,IS,1622392497
129,Makakilo City,21.3469,-158.0858,295.33,82,75,2.57,US,1622392769
130,Port Lincoln,-34.7333,135.8667,286.06,45,83,5.13,AU,1622392769
131,Alice Springs,-23.7,133.8833,277.9,56,63,2.43,AU,1622392770
132,Nizhniy Tsasuchey,50.5167,115.1333,282.32,38,96,5.2,RU,1622392770
133,Torbay,47.6666,-52.7314,289.2,44,20,5.66,CA,1622392770
134,Kruisfontein,-34.0033,24.7314,286.97,72,100,4.09,ZA,1622392770
135,Myitkyina,25.3833,97.4,296.78,98,31,0.16,MM,1622392771
136,Norman Wells,65.282,-126.8329,277.17,87,75,5.14,CA,1622392771
137,Varnavino,57.4035,45.0916,282.21,57,97,3.57,RU,1622392771
138,Caravelas,-17.7125,-39.2481,301.57,61,9,4.01,BR,1622392772
139,Abhā,18.2164,42.5053,298.05,53,20,1.7,SA,1622392679
140,Esperance,-33.8667,121.9,287.06,78,92,11.69,AU,1622392772
141,Karad,17.2833,74.2,298.03,79,86,2.71,IN,1622392772
142,Mazagão,-0.115,-51.2894,306.18,66,20,2.6,BR,1622392773
143,Pangnirtung,66.1451,-65.7125,272.15,86,90,5.66,CA,1622392773
144,Mayo,38.8876,-76.5119,285.52,90,90,1.79,US,1622392773
145,Hope Mills,34.9704,-78.9453,289.38,83,90,0.89,US,1622392774
146,Puqi,29.7167,113.8833,295.55,89,92,0.13,CN,1622392774
147,Santa Vitória do Palmar,-33.5189,-53.3681,286.11,46,2,5.53,BR,1622392774
148,Bredasdorp,-34.5322,20.0403,286.77,82,88,1.02,ZA,1622392775
149,Port Macquarie,-31.4333,152.9167,286.13,76,88,5.06,AU,1622392775
150,Butaritari,3.0707,172.7902,301.35,78,92,6.88,KI,1622392775
151,Taltal,-25.4,-70.4833,292.79,68,17,2.4,CL,1622392776
152,Iqaluit,63.7506,-68.5145,275.0,69,75,4.47,CA,1622392776
153,Avarua,-21.2078,-159.775,293.18,77,20,1.54,CK,1622392776
154,Altusried,47.8,10.2167,290.26,38,5,4.8,DE,1622392776
155,Gambēla,8.25,34.5833,300.53,60,14,1.72,ET,1622392777
156,Kavieng,-2.5744,150.7967,300.19,81,97,4.3,PG,1622392777
157,Carbonia,39.1672,8.5222,299.68,59,80,4.22,IT,1622392777
158,Pahrump,36.2083,-115.9839,304.85,14,0,0.45,US,1622392778
159,Diplo,24.4667,69.584,301.99,80,32,10.03,PK,1622392778
160,Pouébo,-20.4,164.5667,291.87,66,22,2.0,NC,1622392778
161,Manta,-0.95,-80.7333,299.03,78,75,3.09,EC,1622392572
162,Teseney,15.11,36.6575,311.91,15,40,3.22,ER,1622392779
163,Atar,20.5169,-13.0499,316.02,10,21,1.65,MR,1622392779
164,Cururupu,-1.8283,-44.8683,303.26,61,30,3.26,BR,1622392779
165,Hobart,-42.8794,147.3294,278.07,89,31,0.45,AU,1622392780
166,Yerbogachën,61.2767,108.0108,279.97,65,95,5.16,RU,1622392780
167,Lata,40.1629,-8.3327,302.62,46,56,2.92,PT,1622392780
168,Karratha,-20.7377,116.8463,293.96,54,70,3.86,AU,1622392780
169,Muros,42.7762,-9.0603,299.43,52,100,6.22,ES,1622392781
170,Burns Lake,54.2331,-125.7533,279.83,80,100,1.35,CA,1622392781
171,Faanui,-16.4833,-151.75,299.87,76,93,6.62,PF,1622392501
172,Takoradze,4.8845,-1.7554,301.64,73,82,5.22,GH,1622392781
173,Cabo San Lucas,22.8909,-109.9124,306.38,47,1,1.54,MX,1622392589
174,Katsuura,35.1333,140.3,292.21,88,37,6.11,JP,1622392782
175,Homer,59.6425,-151.5483,283.75,67,100,0.45,US,1622392738
176,Dolný Kubín,49.2098,19.3034,286.7,83,97,2.16,SK,1622392782
177,Zelenchukskaya,43.858,41.5894,285.32,82,22,1.09,RU,1622392783
178,Mareeba,-17.0,145.4333,291.73,92,72,1.66,AU,1622392783
179,Ust'-Ilimsk,58.0006,102.6619,273.76,94,93,0.74,RU,1622392783
180,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,292.54,29,8,3.73,AR,1622392784
181,Paamiut,61.994,-49.6678,275.06,92,70,10.37,GL,1622392784
182,Kandrian,-6.2167,149.55,298.28,91,92,4.02,PG,1622392784
183,Kikwit,-5.041,18.8162,300.74,40,76,1.6,CD,1622392784
184,Sitka,57.0531,-135.33,284.09,71,90,2.57,US,1622392785
185,Pedersore,63.65,22.6833,291.22,62,67,5.47,FI,1622392785
186,San Antonio del Tequendama,4.6189,-74.3539,298.54,82,94,1.51,CO,1622392785
187,Souillac,-20.5167,57.5167,297.36,83,20,3.32,MU,1622392786
